SITE_ID,SITE_UID,MONITORING_UNIT_ID,ANALYZER_ID,PARAMETER_ID,PARAMETER_NAME,READING,UNIT_ID,DATA_QUALITY_CODE,RAW_READING,UNIX_TIMESTAMP,CALIBRATION_FLAG,MAINTENANCE_FLAG
site_789,site_789,MEE_OUTLET,analyzer_436,parameter_95,Flow,257,unit_12,U,257,1745951527,0,0
site_789,site_789,MEE_INLET,analyzer_436,parameter_95,Flow,0,unit_12,U,0,1745951527,0,0
site_789,site_789,ETP_INLET,analyzer_436,parameter_95,Flow,20512,unit_12,U,20512,1745951527,0,0
site_789,site_789,ETP_OUTLET,analyzer_436,parameter_95,Flow,18852,unit_12,U,18852,1745951527,0,0
