SITE_ID,SITE_UID,MONITORING_UNIT_ID,ANALYZER_ID,PARAMETER_ID,PARAMETER_NAME,READING,UNIT_ID,DATA_QUALITY_CODE,RAW_READING,UNIX_TIMESTAMP,CALIBRATION_FLAG,MAINTENANCE_FLAG
site_789,site_789,MEE_OUTLET,analyzer_436,parameter_95,Flow,333,unit_12,U,333,1750169587,0,0
site_789,site_789,MEE_INLET,analyzer_436,parameter_95,Flow,0,unit_12,U,0,1750169587,0,0
site_789,site_789,ETP_INLET,analyzer_436,parameter_95,Flow,23232,unit_12,U,23232,1750169587,0,0
site_789,site_789,ETP_OUTLET,analyzer_436,parameter_95,Flow,21397,unit_12,U,21397,1750169587,0,0
